# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 19 11:24:48 2026
#
# User preference: *
#
# CONSTRAINT:  where (releasedate like '%2025%')
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_impparerr1:  Impact Parameter Upper Unc.
# COLUMN pl_impparerr2:  Impact Parameter Lower Unc.
# COLUMN pl_impparlim:   Impact Parameter Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
55 Cnc e,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0,<a refstr=ZHAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..198Z/abstract target=ref>Zhao et al. 2023</a>,0.73654300000,0.00000140000,-0.00000140000,0,1.85600000,0.02400000,-0.02500000,0,,,,,83.90000,0.60000,-0.50000,0,2459511.48798700,0.00007100,-0.00007500,0,0,0.373000,0.027000,-0.032000,0,,,,,1.5439000,0.0027000,-0.0026000,0,3.516000,0.042000,-0.041000,0,0.01801600,0.00008500,-0.00007700,0,<a refstr=ZHAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..198Z/abstract target=ref>Zhao et al. 2023</a>,5272.00,24.00,-24.00,0,0.943000,0.010000,-0.010000,0,4.380000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,2025-04-16,2023-02,2025-04-16
55 Cnc e,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,0.73654600000,0.00000100000,-0.00000100000,0,,,,,0.010000,0.020000,-0.010000,0,,,,,2455500.25460000,0.00500000,-0.00500000,0,0,,,,,,,,,,,,,,,,,,,,,<a refstr=MOUTOU_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv251011523M/abstract target=ref>Moutou et al. 2025</a>,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,4.300000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,2025-10-30,2025-10,2025-10-30
AU Mic b,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,0,<a refstr=DONATI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.227D/abstract target=ref>Donati et al. 2025</a>,8.46344600000,,,0,,,,,,,,,,,,,2458330.35082500,,,0,1,,,,,,,,,,,,,,,,,,,,,<a refstr=DONATI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..455D/abstract target=ref>Donati et al. 2023</a>,3665.00,31.00,-31.00,0,0.820000,0.020000,-0.020000,0,4.520000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,2025-10-02,2025-08,2025-10-02
AU Mic c,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,0,<a refstr=DONATI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.227D/abstract target=ref>Donati et al. 2025</a>,18.85901800000,,,0,,,,,,,,,,,,,2458342.22348700,,,0,1,,,,,,,,,,,,,,,,,,,,,<a refstr=DONATI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..455D/abstract target=ref>Donati et al. 2023</a>,3665.00,31.00,-31.00,0,0.820000,0.020000,-0.020000,0,4.520000,0.050000,-0.050000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,2025-10-02,2025-08,2025-10-02
BD+05 4868 A b,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,1,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,1.27186900000,0.00000100000,-0.00000100000,0,,,,,,,,,,,,,2460556.28920000,0.00030000,-0.00030000,0,0,,,,,1.40000000,0.60000000,-0.60000000,0,,,,,6.400000,0.200000,-0.200000,0,,,,,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,4596.00,65.00,-64.00,0,0.690000,0.020000,-0.020000,0,4.600000,0.030000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.1580000,0.0100000,-0.0100000,7.4480000,0.0260000,-0.0260000,2025-03-21,2025-01,2025-03-21
CoRoT-2 b,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,0,<a refstr=SODICKSON__AMP__GRUNBLATT_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...993...78S/abstract target=ref>Sodickson &amp; Grunblatt 2025</a>,1.74299845482,0.00000004050,-0.00000004050,0,,,,,,,,,,,,,2454237.53237614,0.00001812,-0.00001812,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5160000,0.0920000,-0.0920000,10.3100000,0.0310000,-0.0310000,2026-03-12,2025-11,2025-12-18
EPIC 201595106 b,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,1,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724000000,0.00004000000,-0.00004000000,0,1.56500000,0.07900000,-0.07900000,0,0.000000,,,0,78.20000,0.70000,-0.70000,0,2457583.04429000,0.00157000,-0.00157000,0,0,0.814000,0.024000,-0.024000,0,,,,,,,,,,,,,0.01470000,0.00070000,-0.00070000,0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,5679.00,60.00,-39.00,0,0.980000,0.025000,-0.025000,0,4.435000,0.035000,-0.035000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.7460000,0.0690000,-0.0690000,10.2180000,0.0210000,-0.0210000,2025-01-29,2024-11,2025-01-29
EPIC 211945201 b,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,19.49100000000,0.00070000000,-0.00070000000,0,5.50000000,0.19000000,-0.08000000,0,,,,,,,,,2457158.82659000,0.00092000,-0.00092000,0,0,,,,,,,,,,,,,,,,,,,,,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,6019.00,100.00,-100.00,0,1.387000,0.049000,-0.049000,0,4.180000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.1540000,0.0080000,-0.0080000,8.8370000,0.0200000,-0.0200000,2025-09-17,2025-06,2025-09-17
EPIC 220674823 b,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,0.57128200000,0.00001500000,-0.00001500000,0,1.87000000,0.11000000,-0.05000000,0,,,,,,,,,2457393.44050000,0.00120000,-0.00120000,0,0,,,,,,,,,,,,,,,,,,,,,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,5496.00,100.00,-100.00,0,0.995000,0.039000,-0.039000,0,4.420000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.1010000,0.0310000,-0.0310000,10.3440000,0.0210000,-0.0210000,2025-09-17,2025-06,2025-09-17
EPIC 220674823 b,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,0,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,0.57131270000,0.00000550000,-0.00000550000,0,1.67600000,0.03700000,-0.03700000,0,0.000000,,,0,85.20000,2.90000,-2.40000,0,2457394.00907000,0.00067000,-0.00069000,0,0,0.240000,0.110000,-0.140000,0,0.02410000,0.00090000,-0.00087000,0,1.5400000,0.0330000,-0.0310000,0,2.855000,0.061000,-0.065000,0,0.01553000,0.00029000,-0.00028000,0,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,5578.00,46.00,-46.00,0,0.990000,0.012000,-0.012000,0,4.408000,0.017000,-0.017000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.1010000,0.0310000,-0.0310000,10.3440000,0.0210000,-0.0210000,2025-02-24,2024-03,2025-02-24
